epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,397.172,1.87378,2.53814,1.76048,1.27754,0.45399,0.07214,0.08439,0.04963,0.25616,0.04592,0.06546,0.01715,2.25982,3.99344,1.83342,1.34682,0.01,0.01,0.01
116,400.945,2.10842,3.50943,2.04088,1.60897,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
117,404.689,1.85807,2.32795,1.49232,1.25156,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
118,408.177,1.82391,2.19847,1.59374,1.29867,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
119,412.213,2.10285,2.98937,1.85338,1.38824,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
120,416.206,2.08382,3.17424,1.84452,1.47046,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
121,420.475,1.87423,3.03702,1.77326,1.35279,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
122,424.207,2.47219,3.80644,2.46668,1.54098,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
123,427.944,1.72386,2.73531,1.45872,1.2102,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
124,432.021,2.06269,2.92176,1.67412,1.29088,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
125,435.727,2.29704,3.31106,1.83365,1.50119,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
126,439.495,2.19479,3.14109,1.94331,1.50709,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
127,444.02,2.0413,2.81759,1.73967,1.33129,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
128,448.009,2.00501,2.82935,1.62526,1.29152,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
129,451.966,1.93177,2.67386,1.53639,1.21621,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
130,455.847,2.05701,2.83308,1.62355,1.41563,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
131,459.828,2.36525,3.28812,2.21693,1.70715,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
132,463.803,2.11797,3.00607,1.64217,1.22769,0.34995,0.07653,0.08914,0.05029,0.20197,0.08163,0.06991,0.02408,2.31669,4.25921,1.82053,1.45943,0.01,0.01,0.01
133,467.82,2.06319,3.37646,2.239,1.43643,0.34995,0.07653,0.08914,0.05029,0.20197,0.08163,0.06991,0.02408,2.31669,4.25921,1.82053,1.45943,0.01,0.01,0.01
134,471.759,2.18371,2.84938,1.78483,1.35434,0.34995,0.07653,0.08914,0.05029,0.20197,0.08163,0.06991,0.02408,2.31669,4.25921,1.82053,1.45943,0.01,0.01,0.01
135,475.555,1.99651,3.25386,1.97433,1.40726,0.34995,0.07653,0.08914,0.05029,0.20197,0.08163,0.06991,0.02408,2.31669,4.25921,1.82053,1.45943,0.01,0.01,0.01
136,479.444,2.0478,2.73986,1.68322,1.23009,0.16878,0.06122,0.05807,0.02109,0.09246,0.03061,0.02818,0.00968,2.71113,6.35973,2.30069,1.81976,0.01,0.01,0.01
137,483.267,2.20006,3.68523,2.49405,1.47219,0.16878,0.06122,0.05807,0.02109,0.09246,0.03061,0.02818,0.00968,2.71113,6.35973,2.30069,1.81976,0.01,0.01,0.01
138,487.412,2.0141,2.9327,1.67482,1.38409,0.16878,0.06122,0.05807,0.02109,0.09246,0.03061,0.02818,0.00968,2.71113,6.35973,2.30069,1.81976,0.01,0.01,0.01
139,491.495,1.89496,2.97752,1.67524,1.29468,0.16878,0.06122,0.05807,0.02109,0.09246,0.03061,0.02818,0.00968,2.71113,6.35973,2.30069,1.81976,0.01,0.01,0.01
140,495.356,1.83415,2.49624,1.59431,1.29318,0.15436,0.03061,0.03472,0.01504,0.01167,0.03571,0.00624,0.00099,3.00472,5.44952,2.52205,1.82503,0.01,0.01,0.01
141,499.415,1.86369,2.76823,1.68531,1.40348,0.15436,0.03061,0.03472,0.01504,0.01167,0.03571,0.00624,0.00099,3.00472,5.44952,2.52205,1.82503,0.01,0.01,0.01
142,503.131,1.96576,2.58622,1.77137,1.42103,0.15436,0.03061,0.03472,0.01504,0.01167,0.03571,0.00624,0.00099,3.00472,5.44952,2.52205,1.82503,0.01,0.01,0.01
143,506.883,1.91369,2.92595,1.53808,1.1927,0.15436,0.03061,0.03472,0.01504,0.01167,0.03571,0.00624,0.00099,3.00472,5.44952,2.52205,1.82503,0.01,0.01,0.01
144,510.515,1.95937,3.0744,2.01562,1.44794,0.01667,0.05102,0.01464,0.00689,0.005,0.01531,0.00261,0.00077,3.26162,5.18322,2.86828,2.01803,0.01,0.01,0.01
145,514.65,2.30559,2.82664,1.85119,1.36359,0.01667,0.05102,0.01464,0.00689,0.005,0.01531,0.00261,0.00077,3.26162,5.18322,2.86828,2.01803,0.01,0.01,0.01
146,519.536,2.69357,2.93433,2.04889,1.50856,0.01667,0.05102,0.01464,0.00689,0.005,0.01531,0.00261,0.00077,3.26162,5.18322,2.86828,2.01803,0.01,0.01,0.01
147,523.309,1.84701,2.79688,1.80994,1.28677,0.01667,0.05102,0.01464,0.00689,0.005,0.01531,0.00261,0.00077,3.26162,5.18322,2.86828,2.01803,0.01,0.01,0.01
148,527.293,1.67175,2.21215,1.45149,1.23312,0.02167,0.06633,0.0125,0.00377,0.01263,0.0102,0.00188,0.00019,3.57677,5.09678,3.86155,2.08738,0.01,0.01,0.01
149,531.448,2.12564,2.70994,1.57513,1.24749,0.02167,0.06633,0.0125,0.00377,0.01263,0.0102,0.00188,0.00019,3.57677,5.09678,3.86155,2.08738,0.01,0.01,0.01
150,535.419,2.61521,2.73633,2.04014,1.55687,0.02167,0.06633,0.0125,0.00377,0.01263,0.0102,0.00188,0.00019,3.57677,5.09678,3.86155,2.08738,0.01,0.01,0.01
151,539.407,1.9093,2.92903,1.66935,1.22481,0.02167,0.06633,0.0125,0.00377,0.01263,0.0102,0.00188,0.00019,3.57677,5.09678,3.86155,2.08738,0.01,0.01,0.01
152,543.474,2.3764,3.5813,2.4214,1.50395,0.02333,0.07143,0.01286,0.00544,0.00333,0.0102,0.00171,0.00051,3.44573,5.75002,7.81656,2.10307,0.01,0.01,0.01
153,547.384,1.864,2.96522,1.64167,1.27817,0.02333,0.07143,0.01286,0.00544,0.00333,0.0102,0.00171,0.00051,3.44573,5.75002,7.81656,2.10307,0.01,0.01,0.01
154,551.215,2.16194,3.10078,1.88259,1.36788,0.02333,0.07143,0.01286,0.00544,0.00333,0.0102,0.00171,0.00051,3.44573,5.75002,7.81656,2.10307,0.01,0.01,0.01
155,555.413,2.15888,3.16105,1.85646,1.37489,0.02333,0.07143,0.01286,0.00544,0.00333,0.0102,0.00171,0.00051,3.44573,5.75002,7.81656,2.10307,0.01,0.01,0.01
156,559.747,2.13286,2.79914,1.75126,1.29826,0.04486,0.10204,0.01972,0.00829,0.03638,0.09184,0.01785,0.00495,3.22976,4.62863,30.7475,2.35355,0.01,0.01,0.01
157,563.856,1.873,2.75239,1.5957,1.23627,0.04486,0.10204,0.01972,0.00829,0.03638,0.09184,0.01785,0.00495,3.22976,4.62863,30.7475,2.35355,0.01,0.01,0.01
158,567.77,1.98728,2.84985,1.5652,1.24901,0.04486,0.10204,0.01972,0.00829,0.03638,0.09184,0.01785,0.00495,3.22976,4.62863,30.7475,2.35355,0.01,0.01,0.01
159,571.793,1.85068,2.64849,1.45897,1.24691,0.04486,0.10204,0.01972,0.00829,0.03638,0.09184,0.01785,0.00495,3.22976,4.62863,30.7475,2.35355,0.01,0.01,0.01
160,576.3,1.838,2.84145,1.56565,1.21954,0.03793,0.08163,0.01712,0.00687,0.03668,0.11224,0.02097,0.0073,3.28326,4.90786,43.2493,2.66148,0.01,0.01,0.01
161,580.83,1.77852,2.70062,1.59914,1.19748,0.03793,0.08163,0.01712,0.00687,0.03668,0.11224,0.02097,0.0073,3.28326,4.90786,43.2493,2.66148,0.01,0.01,0.01
162,585.137,1.73783,3.23217,1.45061,1.20983,0.03793,0.08163,0.01712,0.00687,0.03668,0.11224,0.02097,0.0073,3.28326,4.90786,43.2493,2.66148,0.01,0.01,0.01
163,588.878,1.9636,3.24877,1.59795,1.3289,0.03793,0.08163,0.01712,0.00687,0.03668,0.11224,0.02097,0.0073,3.28326,4.90786,43.2493,2.66148,0.01,0.01,0.01
164,593.076,1.82449,2.66637,1.5113,1.18922,0.025,0.07653,0.0136,0.00644,0.00167,0.0051,0.00084,0.00034,3.03552,6.29831,8.97672,1.82952,0.01,0.01,0.01
165,597.332,1.96829,3.07471,1.60666,1.38235,0.025,0.07653,0.0136,0.00644,0.00167,0.0051,0.00084,0.00034,3.03552,6.29831,8.97672,1.82952,0.01,0.01,0.01
166,601.39,1.71896,2.99248,1.38453,1.21567,0.025,0.07653,0.0136,0.00644,0.00167,0.0051,0.00084,0.00034,3.03552,6.29831,8.97672,1.82952,0.01,0.01,0.01
167,605.468,1.98931,2.95915,1.644,1.28638,0.025,0.07653,0.0136,0.00644,0.00167,0.0051,0.00084,0.00034,3.03552,6.29831,8.97672,1.82952,0.01,0.01,0.01
168,609.798,1.92659,3.09759,1.57359,1.28488,0.02167,0.06633,0.01184,0.00502,0,0,0,0,3.17452,6.88578,3.42455,2.02693,0.01,0.01,0.01
169,614.445,2.0774,2.77452,1.54584,1.25939,0.02167,0.06633,0.01184,0.00502,0,0,0,0,3.17452,6.88578,3.42455,2.02693,0.01,0.01,0.01
170,618.744,2.07932,2.6754,1.58819,1.29434,0.02167,0.06633,0.01184,0.00502,0,0,0,0,3.17452,6.88578,3.42455,2.02693,0.01,0.01,0.01
171,623.035,2.27354,2.7894,1.60441,1.36649,0.02167,0.06633,0.01184,0.00502,0,0,0,0,3.17452,6.88578,3.42455,2.02693,0.01,0.01,0.01
172,627.098,1.87453,3.03305,1.90117,1.30089,0.16926,0.10714,0.04172,0.01979,0.15391,0.11224,0.04249,0.01536,2.35373,4.7561,9.90593,1.79094,0.01,0.01,0.01
173,630.844,1.64888,2.52883,1.44668,1.17161,0.16926,0.10714,0.04172,0.01979,0.15391,0.11224,0.04249,0.01536,2.35373,4.7561,9.90593,1.79094,0.01,0.01,0.01
174,635.206,1.98881,2.4292,1.37197,1.20515,0.16926,0.10714,0.04172,0.01979,0.15391,0.11224,0.04249,0.01536,2.35373,4.7561,9.90593,1.79094,0.01,0.01,0.01
175,639.249,2.18299,2.92837,1.51734,1.36544,0.16926,0.10714,0.04172,0.01979,0.15391,0.11224,0.04249,0.01536,2.35373,4.7561,9.90593,1.79094,0.01,0.01,0.01
176,643,1.99118,2.63386,1.49037,1.19902,0.02786,0.01531,0.00554,0.00216,0.00667,0.02041,0.00344,0.00137,3.61605,5.51812,32.3847,3.57309,0.01,0.01,0.01
177,647.06,1.80342,2.55046,1.33262,1.13632,0.02786,0.01531,0.00554,0.00216,0.00667,0.02041,0.00344,0.00137,3.61605,5.51812,32.3847,3.57309,0.01,0.01,0.01
178,651.134,1.75316,2.57542,1.32956,1.10636,0.02786,0.01531,0.00554,0.00216,0.00667,0.02041,0.00344,0.00137,3.61605,5.51812,32.3847,3.57309,0.01,0.01,0.01
179,654.403,2.00888,2.74949,1.81775,1.27581,0.02786,0.01531,0.00554,0.00216,0.00667,0.02041,0.00344,0.00137,3.61605,5.51812,32.3847,3.57309,0.01,0.01,0.01
180,658.505,2.11128,2.98787,1.53534,1.31686,0.00833,0.02551,0.00435,0.00128,0.00667,0.02041,0.0034,0.00076,3.80462,4.48725,39.6523,3.82198,0.01,0.01,0.01
181,662.786,1.80331,2.77558,1.39745,1.20379,0.00833,0.02551,0.00435,0.00128,0.00667,0.02041,0.0034,0.00076,3.80462,4.48725,39.6523,3.82198,0.01,0.01,0.01
182,666.25,1.89218,2.69584,1.54589,1.226,0.00833,0.02551,0.00435,0.00128,0.00667,0.02041,0.0034,0.00076,3.80462,4.48725,39.6523,3.82198,0.01,0.01,0.01
183,670.148,2.18403,3.72303,2.10299,1.39687,0.00833,0.02551,0.00435,0.00128,0.00667,0.02041,0.0034,0.00076,3.80462,4.48725,39.6523,3.82198,0.01,0.01,0.01
184,674.443,2.0839,3.52905,1.99626,1.20952,0.025,0.07653,0.01407,0.00555,0.02833,0.08673,0.01557,0.00456,3.13464,3.9979,24.5047,2.72825,0.01,0.01,0.01
185,678.077,1.67429,2.64461,1.50985,1.20012,0.025,0.07653,0.01407,0.00555,0.02833,0.08673,0.01557,0.00456,3.13464,3.9979,24.5047,2.72825,0.01,0.01,0.01
186,681.878,1.57709,2.62607,1.31716,1.14603,0.025,0.07653,0.01407,0.00555,0.02833,0.08673,0.01557,0.00456,3.13464,3.9979,24.5047,2.72825,0.01,0.01,0.01
187,686.116,1.71472,2.75974,1.3965,1.16335,0.025,0.07653,0.01407,0.00555,0.02833,0.08673,0.01557,0.00456,3.13464,3.9979,24.5047,2.72825,0.01,0.01,0.01
188,690.205,1.66603,2.38127,1.26683,1.13477,0.01833,0.05612,0.01046,0.004,0.015,0.04592,0.00794,0.00182,3.35443,3.7202,27.1727,3.0095,0.01,0.01,0.01
189,693.741,2.03891,3.00864,1.59938,1.39439,0.01833,0.05612,0.01046,0.004,0.015,0.04592,0.00794,0.00182,3.35443,3.7202,27.1727,3.0095,0.01,0.01,0.01
190,697.838,1.6542,2.889,1.25986,1.11304,0.01833,0.05612,0.01046,0.004,0.015,0.04592,0.00794,0.00182,3.35443,3.7202,27.1727,3.0095,0.01,0.01,0.01
191,701.447,1.71734,2.82279,1.49356,1.17697,0.01833,0.05612,0.01046,0.004,0.015,0.04592,0.00794,0.00182,3.35443,3.7202,27.1727,3.0095,0.01,0.01,0.01
192,705.263,1.78276,2.84966,1.31294,1.14871,0.00333,0.0102,0.00169,0.00025,0.00833,0.02551,0.00427,0.00085,3.73226,5.85425,38.9963,3.37878,0.01,0.01,0.01
193,709.165,1.85856,2.7466,1.39933,1.1807,0.00333,0.0102,0.00169,0.00025,0.00833,0.02551,0.00427,0.00085,3.73226,5.85425,38.9963,3.37878,0.01,0.01,0.01
194,713.304,1.73015,2.77597,1.42035,1.20433,0.00333,0.0102,0.00169,0.00025,0.00833,0.02551,0.00427,0.00085,3.73226,5.85425,38.9963,3.37878,0.01,0.01,0.01
195,717.142,2.09048,2.70865,1.5011,1.27099,0.00333,0.0102,0.00169,0.00025,0.00833,0.02551,0.00427,0.00085,3.73226,5.85425,38.9963,3.37878,0.01,0.01,0.01
196,721.043,1.89562,3.09546,1.49573,1.26821,0.05215,0.06122,0.02049,0.00836,0.02,0.06122,0.01068,0.00305,3.01552,6.47589,11.1939,2.01834,0.01,0.01,0.01
197,725.117,1.99112,3.0265,1.59279,1.27889,0.05215,0.06122,0.02049,0.00836,0.02,0.06122,0.01068,0.00305,3.01552,6.47589,11.1939,2.01834,0.01,0.01,0.01
198,728.903,1.7241,3.10385,1.42798,1.16544,0.05215,0.06122,0.02049,0.00836,0.02,0.06122,0.01068,0.00305,3.01552,6.47589,11.1939,2.01834,0.01,0.01,0.01
199,732.789,1.83239,2.82856,1.39508,1.14337,0.05215,0.06122,0.02049,0.00836,0.02,0.06122,0.01068,0.00305,3.01552,6.47589,11.1939,2.01834,0.01,0.01,0.01
200,736.844,2.09935,2.96606,1.73767,1.46403,0.03667,0.11224,0.0204,0.00727,0.03333,0.10204,0.01837,0.00602,3.19853,5.34487,11.7308,1.96645,0.01,0.01,0.01
201,740.737,1.71015,2.71719,1.32882,1.16479,0.03667,0.11224,0.0204,0.00727,0.03333,0.10204,0.01837,0.00602,3.19853,5.34487,11.7308,1.96645,0.01,0.01,0.01
202,744.751,1.76366,2.44384,1.42821,1.21785,0.03667,0.11224,0.0204,0.00727,0.03333,0.10204,0.01837,0.00602,3.19853,5.34487,11.7308,1.96645,0.01,0.01,0.01
203,748.433,1.79627,2.75672,1.25249,1.11786,0.03667,0.11224,0.0204,0.00727,0.03333,0.10204,0.01837,0.00602,3.19853,5.34487,11.7308,1.96645,0.01,0.01,0.01
204,752.733,2.06529,2.99139,1.37,1.20738,0.03167,0.09694,0.01737,0.00698,0.02167,0.06633,0.01155,0.00371,3.43734,4.75439,9.56597,2.0496,0.01,0.01,0.01
205,756.906,2.08869,3.12115,1.66637,1.40385,0.03167,0.09694,0.01737,0.00698,0.02167,0.06633,0.01155,0.00371,3.43734,4.75439,9.56597,2.0496,0.01,0.01,0.01
206,760.809,1.66572,2.61872,1.2445,1.14728,0.03167,0.09694,0.01737,0.00698,0.02167,0.06633,0.01155,0.00371,3.43734,4.75439,9.56597,2.0496,0.01,0.01,0.01
207,764.693,1.68995,2.74303,1.29075,1.08407,0.03167,0.09694,0.01737,0.00698,0.02167,0.06633,0.01155,0.00371,3.43734,4.75439,9.56597,2.0496,0.01,0.01,0.01
208,768.648,1.68215,2.59814,1.30142,1.16023,0.03667,0.11224,0.02101,0.00717,0.025,0.07653,0.01353,0.00416,3.03814,5.1686,9.47141,2.14899,0.01,0.01,0.01
209,772.648,1.74885,2.74428,1.33491,1.18387,0.03667,0.11224,0.02101,0.00717,0.025,0.07653,0.01353,0.00416,3.03814,5.1686,9.47141,2.14899,0.01,0.01,0.01
210,776.37,1.97182,2.6955,1.46165,1.26948,0.03667,0.11224,0.02101,0.00717,0.025,0.07653,0.01353,0.00416,3.03814,5.1686,9.47141,2.14899,0.01,0.01,0.01
211,780.191,1.51546,2.73105,1.27055,1.11404,0.03667,0.11224,0.02101,0.00717,0.025,0.07653,0.01353,0.00416,3.03814,5.1686,9.47141,2.14899,0.01,0.01,0.01
212,784.362,1.74,2.62124,1.23537,1.08335,0.11915,0.11735,0.03646,0.01955,0.09461,0.09184,0.03182,0.00918,2.29622,5.74971,7.47343,1.92441,0.01,0.01,0.01
213,788.178,1.96395,2.87147,1.34688,1.14449,0.11915,0.11735,0.03646,0.01955,0.09461,0.09184,0.03182,0.00918,2.29622,5.74971,7.47343,1.92441,0.01,0.01,0.01
214,792.217,1.89232,2.97978,1.46066,1.2087,0.11915,0.11735,0.03646,0.01955,0.09461,0.09184,0.03182,0.00918,2.29622,5.74971,7.47343,1.92441,0.01,0.01,0.01
215,795.913,1.80641,2.33772,1.3889,1.21844,0.11915,0.11735,0.03646,0.01955,0.09461,0.09184,0.03182,0.00918,2.29622,5.74971,7.47343,1.92441,0.01,0.01,0.01
216,800.005,2.05741,2.81668,1.44233,1.21596,0.11412,0.10204,0.03173,0.01734,0.08067,0.08163,0.02763,0.00989,2.29931,6.03114,4.8098,1.97147,0.01,0.01,0.01
217,803.953,1.79961,2.65033,1.25818,1.151,0.11412,0.10204,0.03173,0.01734,0.08067,0.08163,0.02763,0.00989,2.29931,6.03114,4.8098,1.97147,0.01,0.01,0.01
218,807.752,1.85205,2.9857,1.51097,1.29161,0.11412,0.10204,0.03173,0.01734,0.08067,0.08163,0.02763,0.00989,2.29931,6.03114,4.8098,1.97147,0.01,0.01,0.01
219,811.485,1.59196,2.28091,1.20873,1.07478,0.11412,0.10204,0.03173,0.01734,0.08067,0.08163,0.02763,0.00989,2.29931,6.03114,4.8098,1.97147,0.01,0.01,0.01
220,815.357,1.74391,2.44692,1.28074,1.1342,0.12406,0.10204,0.0393,0.01903,0.12525,0.10714,0.03866,0.01278,2.36599,4.81188,4.03995,1.81485,0.01,0.01,0.01
221,819.617,2.12775,3.1022,1.77231,1.22855,0.12406,0.10204,0.0393,0.01903,0.12525,0.10714,0.03866,0.01278,2.36599,4.81188,4.03995,1.81485,0.01,0.01,0.01
222,823.578,1.58554,2.53759,1.25565,1.107,0.12406,0.10204,0.0393,0.01903,0.12525,0.10714,0.03866,0.01278,2.36599,4.81188,4.03995,1.81485,0.01,0.01,0.01
223,827.345,1.92232,2.98629,1.45135,1.20274,0.12406,0.10204,0.0393,0.01903,0.12525,0.10714,0.03866,0.01278,2.36599,4.81188,4.03995,1.81485,0.01,0.01,0.01
224,831.62,2.01927,2.76637,1.59108,1.19914,0.025,0.07653,0.01443,0.00474,0.02014,0.06122,0.01128,0.00412,3.60742,5.67934,6.19084,2.79272,0.01,0.01,0.01
225,835.686,1.6976,2.72002,1.26831,1.13617,0.025,0.07653,0.01443,0.00474,0.02014,0.06122,0.01128,0.00412,3.60742,5.67934,6.19084,2.79272,0.01,0.01,0.01
226,839.692,1.68116,2.41584,1.23893,1.14973,0.025,0.07653,0.01443,0.00474,0.02014,0.06122,0.01128,0.00412,3.60742,5.67934,6.19084,2.79272,0.01,0.01,0.01
227,843.568,2.01122,2.50316,1.33372,1.12191,0.025,0.07653,0.01443,0.00474,0.02014,0.06122,0.01128,0.00412,3.60742,5.67934,6.19084,2.79272,0.01,0.01,0.01
228,847.426,1.73027,2.78637,1.32659,1.1362,0.06697,0.07143,0.02097,0.00958,0.06695,0.08163,0.02487,0.00645,3.23089,5.65309,4.02448,2.54308,0.01,0.01,0.01
229,851.871,1.60243,2.58725,1.25166,1.10043,0.06697,0.07143,0.02097,0.00958,0.06695,0.08163,0.02487,0.00645,3.23089,5.65309,4.02448,2.54308,0.01,0.01,0.01
230,855.735,1.81243,2.48982,1.23889,1.10187,0.06697,0.07143,0.02097,0.00958,0.06695,0.08163,0.02487,0.00645,3.23089,5.65309,4.02448,2.54308,0.01,0.01,0.01
231,859.817,1.76369,2.45684,1.24077,1.09746,0.06697,0.07143,0.02097,0.00958,0.06695,0.08163,0.02487,0.00645,3.23089,5.65309,4.02448,2.54308,0.01,0.01,0.01
232,864.626,1.63879,2.34206,1.11353,1.03692,0.04372,0.09694,0.0223,0.00746,0.04081,0.10714,0.0206,0.00537,3.47841,5.93983,4.1354,2.54303,0.01,0.01,0.01
